step,time,pos_err_norm,rot_err_norm,err_6d_norm,qdot_max,line_dev,phase_error,sigma_min,condition_number,joint_center_cost,joint_margin_min,qdot_norm,px,py,pz,roll,pitch,yaw,r11,r12,r13,r21,r22,r23,r31,r32,r33,epx,epy,epz,erx,ery,erz,q1,q2,q3,q4,q5,q6,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,qdot_null1,qdot_null2,qdot_null3,qdot_null4,qdot_null5,qdot_null6,qdot_primary_norm,qdot_null_norm,qdot_null_ratio,null_task_leak_norm
0,0.0,0.0,8.620652195328901e-10,8.620652195328901e-10,9.816777934241603e-09,0.0,0.0,4.5365982948088026e-05,17317.968371345567,1.000083246615735,3.2712555337268405e-13,1.0837101277956815e-08,0.3340806509489974,0.0010019155657902898,0.33093286030734786,-1.6757040199877338e-10,2.8786084627085984e-10,-1.2229417478692994e-10,0.9999999999414647,2.1832294947712118e-10,-4.556171412373189e-10,-1.2229413565316075e-10,1.0000000001134242,1.6757067017938358e-10,-2.8786104749878305e-10,2.5807600501082106e-10,1.0000000003226814,0.0,0.0,0.0,4.2564667531331177e-10,7.434781889873462e-10,-9.602881350464613e-11,-7.775264686871852e-13,-8.505264387689785e-13,3.270521479396565e-12,2.120328558804953e-12,1.5699999999901832,2.133913897383873e-12,-7.775264686871852e-10,-8.505264387689786e-10,3.2705214793965647e-09,2.120328558804953e-09,-9.816777934241603e-09,2.1339138973838727e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.0837101277956815e-08,0.0,0.0,0.0
1,0.001,1.0874373363155916e-09,8.453671511244229e-10,1.3773763394996197e-09,1.6017018229959405e-05,2.4533261756319214e-13,-1.0874373086410733e-09,4.5365983495700566e-05,17317.968162299003,1.0000832300886022,2.138665716726853e-09,1.998939363540143e-05,0.33408065094907285,0.0010019155655308504,0.3309328603072717,-1.6331735963603933e-10,2.952575961501225e-10,-1.2316592190586562e-10,0.9999999999414647,2.1919454119431015e-10,-4.4822031849967026e-10,-1.2316573042305646e-10,1.0000000001134244,1.6331749720628665e-10,-2.952578685017082e-10,2.623290473735551e-10,1.0000000003226814,8.879247892501496e-10,-4.4374067918392934e-10,4.4407627575182573e-10,7.171467918885219e-10,4.403280783094578e-10,-8.035721832246229e-11,-3.451276044250425e-10,-1.6017868756398174e-08,8.554662866907412e-09,4.746154889916883e-10,1.570000008320456,4.137208856918809e-10,-3.4435007795635525e-07,-1.6017018229959405e-05,8.551392345428016e-06,4.724951604328833e-07,8.330272588490637e-06,4.11586971794497e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.998939363540143e-05,0.0,0.0,0.0
2,0.002,6.35080230225564e-09,2.084742121789579e-09,6.684223185733646e-09,6.405868007936468e-05,9.727847877404615e-10,-6.275856884378304e-09,4.5365519238350846e-05,17318.145409249246,1.0000831639963976,1.0685628278496275e-08,7.995407210281169e-05,0.33408065318559044,0.0010019154505529007,0.3309328616369668,7.206093499689814e-10,-5.693845395171593e-10,-4.870770453635487e-10,0.9999999999414647,5.831060448418846e-10,-1.3128628600922454e-09,-4.870772340011742e-10,1.0000000001134244,-7.206093739458901e-10,5.6938466962142e-10,1.146256034534332e-09,1.0000000003226817,4.8603034374927745e-09,-3.433210847992446e-09,2.218829342481854e-09,1.9011264478221382e-09,-7.629358968728516e-10,3.8703586528603856e-10,-1.7195107879506294e-09,-8.007654883576285e-08,4.27425131139851e-08,2.3576226581602873e-09,1.5700000416702622,2.0525715009112355e-09,-1.374383183525587e-06,-6.405868007936468e-05,3.418785024707768e-05,1.8830071691685986e-06,3.334980616617291e-05,1.6388506152193546e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.995407210281169e-05,0.0,0.0,0.0
3,0.003,1.7902118372847497e-08,5.359951002240385e-09,1.8687292928133322e-08,0.00014404766418729968,4.864615104760223e-09,-1.7228504348542685e-08,4.536366060686696e-05,17318.85504496148,1.000083015383809,2.9901216832849784e-08,0.0001797933317810289,0.3340806621304938,0.0010019149916480501,0.33093286695334095,4.241850426467408e-09,-4.048343882345762e-09,-1.939385985139097e-09,0.9999999999414648,2.0354148324234e-09,-4.791822133531909e-09,-1.9393860348480726e-09,1.0000000001134244,-4.241850339082381e-09,4.048343882345762e-09,4.667496888988154e-09,1.0000000003226814,1.2746561195431383e-08,-1.1389886560384671e-08,5.318035734003246e-09,3.985594865459176e-09,-2.88968599722523e-09,2.1198639466445946e-09,-4.807610766381317e-09,-2.2412421302306254e-07,1.1960486733139914e-07,6.588075685064102e-09,1.570000116684364,5.7325878962883365e-09,-3.0880999784306873e-06,-0.00014404766418729968,7.686235421741404e-05,4.230453026903815e-06,7.50141019029288e-05,3.6800163953771005e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0001797933317810289,0.0,0.0,0.0
4,0.004,3.811105988738986e-08,1.0927298654189073e-08,3.9646673777481744e-08,0.00025590533408088856,1.3614938856256709e-08,-3.559615605391505e-08,4.535947996402472e-05,17320.451449828117,1.0000827513809611,6.40323367106337e-08,0.0003194078068991203,0.33408068224484333,0.0010019139605349544,0.3309328789027097,1.2150934924903822e-08,-1.1877097083612398e-08,-5.20251530744531e-09,0.9999999999414646,5.29854398851295e-09,-1.26205754423514e-08,-5.202515327503897e-09,1.0000000001134242,-1.215093482090059e-08,1.1877097241472234e-08,1.257658144293572e-08,1.0000000003226814,2.5365730127457908e-08,-2.6725532694229018e-08,9.735426187429397e-09,6.9785859649371005e-09,-5.963008352764545e-09,5.928551694358877e-09,-1.0290338044456319e-08,-4.80029547103951e-07,2.561293468425348e-07,1.4099686759874987e-08,1.5700002499725194,1.2263792431189306e-08,-5.482727278075002e-06,-0.00025590533408088856,0.00013652447951113564,7.511611074810886e-06,0.00013328815535990565,6.5312045349009694e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0003194078068991203,0.0,0.0,0.0
5,0.005,6.943580754577585e-08,1.9440589522564413e-08,7.210594906468441e-08,0.0003995525851579186,2.9157576010908414e-08,-6.301719710927816e-08,4.535205162219997e-05,17323.28873506662,1.000082339203862,1.1731325393258513e-07,0.000498697566275398,0.33408071797875566,0.001001912129857967,0.33093290012081,2.619129313430335e-08,-2.5784329338307543e-08,-1.0995958810156026e-08,0.9999999999414645,1.1091986811876984e-08,-2.652780817236078e-08,-1.0995958682509008e-08,1.0000000001134237,-2.6191292829095595e-08,2.5784329683517515e-08,2.661693976335755e-08,1.0000000003226808,4.352653804051698e-08,-5.184221582533663e-08,1.5464686031751995e-08,1.0888156220527327e-08,-1.0005704347550015e-08,1.26202399189418e-08,-1.8845833420011145e-08,-8.795821322618697e-07,4.6925301573034053e-07,2.582291535182601e-08,1.5700004581091533,2.2452369066596394e-08,-8.555495375554828e-06,-0.0003995525851579186,0.00021312366888780572,1.1723228591951023e-05,0.00020813663391828528,1.0188576635407088e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000498697566275398,0.0,0.0,0.0
6,0.006,1.143614277950765e-07,3.16598832183158e-08,1.1866290225982967e-07,0.0005749098413343899,5.342046942575516e-08,-1.0111770177891045e-07,4.534045186021347e-05,17327.721170403554,1.0000817461548608,1.9396556266855464e-07,0.0007175621080740145,0.3340807737713415,0.001001909273185558,0.33093293323281125,4.8099265015366655e-08,-4.7491940602384375e-08,-2.003628463143059e-08,0.9999999999414633,2.0132311212977992e-08,-4.8235419887465714e-08,-2.003628470116173e-08,1.000000000113423,-4.809926401984931e-08,4.7491940652691356e-08,4.85249115889097e-08,1.000000000322679,6.80274991338159e-08,-8.913231686817451e-08,2.249945818544319e-08,1.5722384991355817e-08,-1.5040294081169465e-08,2.2998790610223885e-08,-3.1149471261014934e-08,-1.4544919735962597e-06,7.758622506742186e-07,4.268492432300976e-08,1.5700007576330244,3.7100717568898034e-08,-1.2303637841003787e-05,-0.0005749098413343899,0.000306609234943878,1.686200897118375e-05,0.0002995238711073097,1.4648348502301637e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0007175621080740145,0.0,0.0,0.0
7,0.007,1.7537720041592902e-07,4.837646421376809e-08,1.8192703129429367e-07,0.000781897051483941,8.832567673646015e-08,-1.515115086544285e-07,4.532375894081208e-05,17334.10375579584,1.000080939623112,2.9819815323884755e-07,0.0009759003552817787,0.33408085405064825,0.0010019051650086948,0.3309329808533299,7.960411130270018e-08,-7.871505181000771e-08,-3.3037141911052004e-08,0.9999999999414609,3.3133164321422926e-08,-7.945853272572911e-08,-3.3037141800793725e-08,1.0000000001134206,-7.960410864011066e-08,7.87150518828661e-08,8.002975793175438e-08,1.0000000003226748,9.965699970804209e-08,-1.4097854367906525e-07,3.0833343267477886e-08,2.1489372941468496e-08,-2.108901755595622e-08,3.7864792075660955e-08,-4.7873862584828444e-08,-2.2363890250802007e-06,1.1927926129553902e-06,6.560952310580097e-08,1.5700011650468852,5.700752063126616e-08,-1.6724391323813514e-05,-0.000781897051483941,0.00041693036228117157,2.292459878279122e-05,0.0004074138608653914,1.9906803062368126e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0009759003552817787,0.0,0.0,0.0
8,0.008,2.5496768266834443e-07,7.038931141363602e-08,2.6450552804535375e-07,0.0010204336860767005,1.357893608551746e-07,-2.1580029815421032e-07,4.530105312750754e-05,17342.79293863207,1.000079887085051,4.342071806785326e-07,0.0012736106515068774,0.33408096323360115,0.0010018995807393736,0.330933045586441,1.2242802371886796e-07,-1.2116201464351661e-07,-5.0709263010872974e-08,0.9999999999414558,5.080527704306568e-08,-1.2190549937909911e-07,-5.070926310772611e-08,1.0000000001134155,-1.224280174700928e-07,1.2116201493321543e-07,1.228536701813887e-07,1.0000000003226663,1.3919338570644868e-07,-2.097539438096572e-07,4.0459901595735204e-08,2.8197241436185888e-08,-2.817383630613774e-08,5.801556415713137e-08,-6.968885794282087e-08,-3.256822711156901e-06,1.7368287227141303e-06,9.551709784856182e-08,1.570001696817137,8.296782401728697e-08,-2.1814995357992417e-05,-0.0010204336860767005,0.0005440361097587401,2.990757474276084e-05,0.0005317702519217389,2.596030338602081e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0012736106515068774,0.0,0.0,0.0
9,0.009000000000000001,3.556089081385237e-07,9.849695370476712e-08,3.689977580373518e-07,0.001290438733724888,1.977217815571594e-07,-2.955736670376761e-07,4.527141670211212e-05,17354.14747795911,1.000078556104877,6.061760338413839e-07,0.0016105907566790585,0.33408110572594696,0.0010018922967088325,0.3309331300256921,1.7828613474435429e-07,-1.7653441819476257e-07,-7.376047150842169e-08,0.9999999999414461,7.385646873856223e-08,-1.7727790974086943e-07,-7.376047145967494e-08,1.0000000001134055,-1.7828612198523257e-07,1.7653441833527517e-07,1.787117814844308e-07,1.0000000003226495,1.8740504725833773e-07,-2.9782191694272334e-07,5.1372654186199185e-08,3.585413169387028e-08,-3.631643638447759e-08,8.424516352841769e-08,-9.726155011237321e-08,-4.547261444881789e-06,2.4247041353655355e-06,1.333245284306338e-07,1.5700023693734793,1.1577312982300553e-07,-2.757269216955234e-05,-0.001290438733724888,0.000687875412651405,3.7807430582071983e-05,0.0006725563421918545,3.280530580571856e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0016105907566790585,0.0,0.0,0.0
