sample_index,theta1,theta2,theta3,theta4,theta5,theta6,position_error_norm,rotation_error_norm,jacobian_error_norm
0,1.6985275010469727,-1.458916056644664,3.43439167964553,1.223681780168056,0.29194977845171355,1.4934541841394136,2.7026078727940894e-16,1.4188638309816688e-15,4.587482709960213e-16
1,1.6190661523401881,-0.5562328062799202,0.5124545307021835,-0.30760718504748397,1.1494738751210019,1.3400420649846099,1.7502663562415143e-16,1.2155547924029947e-15,4.727594916432592e-16
2,0.8919637445001203,-0.4608198054958419,1.7736567953093245,-1.6911199249343833,1.719212839749088,-1.3696138158328894,3.1843399876895677e-16,1.0594488999422677e-15,4.727272661114647e-16
3,2.0313132663540086,-0.9576725622826314,3.0323509603414953,-0.901938997594816,3.0091638756242003,1.234400320951701,2.830524433501838e-16,1.5394339208191087e-15,5.796131428880045e-16
4,1.7259776818573234,-2.0939393595848843,1.8668840149081367,-2.8284166521191816,0.4782974254093983,0.5747737131813075,2.3592239273284576e-16,9.506031400676578e-16,5.022144304250144e-16
5,1.5175253666284667,-0.08447469567105381,1.3033014325526078,-0.803149822583813,1.4556230149550047,-0.975059932475343,3.110141981595839e-16,1.1064000509094923e-15,5.884373424883166e-16
6,-2.2944866669200756,-1.3631671918125723,0.9076373962035365,1.0528467670315638,1.3551709485042254,1.0446095356216094,2.482534153247273e-16,8.238311188599651e-16,5.597030925252017e-16
7,1.2416436324139446,-1.7878467324066933,3.3290392055808042,1.8895390164801715,1.2011829749935408,-0.6646497536590336,4.126746361632143e-16,1.1756869996247808e-15,8.261918917974987e-16
8,1.1314721246448483,-2.2366435426157945,0.7996328099004333,-3.054353927543766,2.4394655702566292,0.517631689698981,3.387999773988765e-16,1.0492194985853742e-15,6.723115991001068e-16
9,1.2720253474832774,-0.5701045193428835,1.8356631021533598,0.4261954149079412,0.4333706941957381,-1.2103755690970435,3.194341494988697e-16,1.2725257943321967e-15,4.0368957205173165e-16
10,1.044098363100924,-1.3751498640278554,2.2609444259247553,1.642992915979359,1.9676267920018315,0.1682393180661068,3.8459253727671276e-16,1.3254740448302435e-15,4.66589021896369e-16
11,0.3670843966215638,-1.8097297450372083,0.12327133827175762,-0.39235218675935357,0.6652124857405405,-0.2872200587046425,1.3010426069826053e-16,1.1352675097896258e-15,2.651100232982128e-16
12,2.19109905426263,-1.9917573367501142,0.23321096675626407,-1.3554198694636215,0.9101406490767192,0.5084178562424506,1.716587549445839e-16,1.3598107734556986e-15,3.993748732648042e-16
13,0.35359934451592556,-0.5618646563233249,2.65725416130955,-0.5804014590715627,2.5234631924647073,-1.0457050314898098,4.443059973708341e-16,1.3610141147363767e-15,8.306337132061128e-16
14,-2.959185146570065,-2.3658755619833314,2.889437402385801,-0.2363611724413981,0.4999425150041656,0.003280593824561473,3.554447978966673e-16,1.4542074223389849e-15,5.859264475730394e-16
15,-2.155664963178356,-0.7895670247978863,1.7846251022961228,-0.7376683982018086,0.9346874763584173,0.4090873423933097,3.2398021848425308e-16,1.7064601008853095e-15,5.825682103443963e-16
16,-0.8567618145689795,-2.3721102097781377,0.47202360848206126,2.86376552020699,2.816600141193582,0.6270804001657535,1.2869730969111293e-16,1.2119051842407913e-15,4.1152984038453797e-16
17,-1.4516062389509787,-0.08014141889591775,3.1150036158631784,1.3447191727857724,1.3930206566457448,-0.7151614958062007,5.688200336284365e-16,1.4210339709838103e-15,1.0649588077553634e-15
18,-2.5023760346483046,-0.2532337689860116,1.8231051593344443,-1.845347138269572,0.9484655348670228,0.24874944647755326,3.2957919968262575e-16,1.04924244312759e-15,6.324827073321748e-16
19,-2.0040087457767637,-0.37280286135982355,3.0340781193408404,1.3606703268958085,1.3394884233028215,0.3997497598056716,3.1401849173675503e-16,1.3506446028928519e-15,7.106715577936026e-16
20,0.5214074072589607,-0.910398835957468,0.33777728455955636,-0.5219941065422202,0.12900393897186668,-0.018868827572210645,2.7194799110210365e-16,1.3520697848899533e-15,5.634861442148145e-16
21,-1.0548604835367312,-2.224237108948278,0.41361187089020657,0.5433963475018149,0.528838202464347,1.3348771717031431,9.205483015737869e-17,7.845017213436141e-16,2.679014206063524e-16
22,0.5025790661424487,-1.6981385082094236,2.363661965925667,-2.9586159996158754,2.9715335610484805,-0.05556720799929327,2.5438405243138006e-16,1.4206951051220747e-15,4.823155224100436e-16
23,1.7529584089517747,-2.38490200020166,1.9466333233526414,-0.05761663500197045,2.9072620104224467,0.22522608446087666,3.7238012298709097e-16,1.4002130849932114e-15,8.351613768299793e-16
24,-0.16436571344688655,-1.9058632759610767,1.3262759893702087,0.12816889532353448,1.3606255269456449,-1.5021380691757624,3.387999773988765e-16,1.0707502490747885e-15,7.881913264334648e-16
25,2.0230099300050184,-0.2699819932166063,0.5609963559944431,0.3350240899421064,0.336584797519875,0.5408338921450089,2.0816681711721685e-16,1.1617623272539761e-15,4.54421401884096e-16
26,-1.3563505401981484,-0.8855011498010554,2.9079784571475304,1.6656144498894734,0.33399693246327933,1.306277193732089,3.3294039310609014e-16,1.4010381148703524e-15,5.135748388982564e-16
27,-1.672673256451739,-2.502727353941933,2.2194098775659334,-0.8002818400528797,2.572348203710481,0.9679096222819077,2.4679451876256556e-16,1.084955474666808e-15,6.785463510283721e-16
28,-1.1337388644991648,-0.1224615728186631,1.1636713525604745,0.09335420123663019,0.7934917807595685,1.3691768099537447,2.931015397124743e-16,1.2037731057624424e-15,4.1449093012072085e-16
29,-2.0794315309914877,-2.483232389579945,1.7403882400121518,3.0527284971461897,2.764199525390233,0.7806291810948205,4.783309287441108e-16,1.3615800249956494e-15,9.260840407669958e-16
30,2.422913443446854,-0.2770387367855558,2.0754334415457962,-1.1412398786490834,2.393238539544063,0.5076163663467697,3.3422138886441676e-16,1.4065259467477195e-15,4.935715091940997e-16
31,-0.7833220809829977,-2.3543866630400605,2.987158445396104,-1.472744801278239,2.9041207666547155,-0.8133523944821499,4.611102534756203e-16,1.1161055004029252e-15,7.264577867629749e-16
32,-2.3389008190487868,-0.43910705247524406,0.6131372664979762,-1.9885364894220177,1.858086653714615,1.1761248082296383,2.0206364052201326e-16,1.1955051700974646e-15,5.012180220743128e-16
33,-1.882105072569646,-1.7931584504597535,3.1096193529647103,2.9253238415779976,1.5522976772272612,-1.1181618419890726,2.5438405243138006e-16,1.049586551071182e-15,4.54421401884096e-16
34,-3.0135950162091505,-2.0028943220029762,0.5272888711460841,1.1014837763997165,0.3776807643484465,0.019875985288787534,2.2247786310271853e-16,1.0325671005860945e-15,4.2987471764148305e-16
35,1.2044271009858964,-1.089096816025654,0.7991026066402305,1.8855720623300285,2.2177621018089853,0.7504097722948011,2.0770370905276122e-16,1.084955474666808e-15,4.872967620930103e-16
36,-2.287441940344658,-2.278240110509104,3.7102502040260306,-0.6350151982853682,0.9329409445209133,-0.0358460975961854,2.498001805406602e-16,1.0835344452754878e-15,5.842008086176304e-16
37,1.009758119134211,-0.11537953167787807,1.14578490752822,2.6338122617345685,0.07706442329739459,0.17332185290622948,1.8875832159447664e-16,1.4713073293813407e-15,4.214414201167662e-16
38,0.8306456924227277,-2.3246667502480416,0.5613583882556505,-0.5014912202389161,2.995318927643863,0.3015736171559307,1.0385185452638061e-16,7.836957695847857e-16,2.6772409532829742e-16
39,2.6847439739213095,-0.5086616194062761,1.869526406221166,1.7655333853635624,0.05529403032866198,-1.2272878501555924,3.1432500083045447e-16,6.678662853596398e-16,4.889612844969513e-16
40,2.0424574122729653,-0.5282755703545794,0.9305629678657348,0.19077146171413162,1.8786490441700339,1.1547003148566752,2.37549462997806e-16,1.2387820549587201e-15,5.105895625281184e-16
41,0.6392643755000993,-1.5273139198884311,1.4967361736287308,-0.4595310644842385,2.02098617929792,1.1539205837023003,3.236828524569469e-16,1.760018671080631e-15,6.499654123645871e-16
42,-0.2858393311269416,-1.955617136326469,0.9466494519903246,1.5252885375093679,2.5313631666141223,-1.2394268292580477,2.254873622441467e-16,9.028031637431707e-16,4.945300810024197e-16
43,-2.6873350868778956,-1.0544724742332254,0.5846929767707931,2.012917980829316,0.9620374891646307,-1.118242130470612,2.0770370905276122e-16,1.3031087567683006e-15,3.697688318251571e-16
44,2.610016929422191,-2.169617520888277,1.1388803293517422,-2.1475969498092367,0.3580191973626004,-1.5035952287035783,2.5438405243138006e-16,8.165813462206142e-16,5.032073707423095e-16
45,-2.7565484631815873,-2.145932175566783,0.21352773050870155,0.5650916598880218,2.11021503307847,-0.3340003655474313,2.0816681711721685e-16,9.334295403729119e-16,3.253060405096999e-16
46,-1.1284551988972937,-1.2882317837422017,3.5000197689384343,2.177016086297677,0.13477269223965502,-1.0000949938669144,2.0816681711721685e-16,1.0619908546843355e-15,4.1329400004587436e-16
47,-1.6321817991527448,-1.9515923028362492,2.284930606971091,-0.519172960640208,0.15268777177554135,-0.3968516052369453,3.06884301130794e-16,1.9247646196413958e-15,6.318639476334559e-16
48,0.14726828204935094,-2.3356530524503385,3.333834215154239,-2.7778364279163537,2.8670097939559924,-1.258784735439191,3.433175098891678e-16,1.3755121145835177e-15,6.165209430091536e-16
49,2.1301646999060675,-0.2531018257881956,3.9182827223463708,1.8725604576962804,2.41638037639112,0.44739748662601975,3.608224830031759e-16,1.455580822840284e-15,6.653495653001486e-16
50,1.7297773983844,-2.2501642581258174,2.144272143790549,0.08818179518056946,2.6584736467799286,-0.11680999203636011,2.482534153247273e-16,1.1549923865731632e-15,4.0452848567791187e-16
51,-0.7124451241778083,-0.9371354947835138,1.0658532700033843,-2.2334358520854676,1.481419549473612,-0.2609673826120611,3.3306690738754696e-16,1.1490942388994425e-15,5.555260648514053e-16
52,-1.6580663687209831,-1.6444692937006673,1.4655697993049897,-1.0695275006422182,1.1763386471534798,0.5832341047316685,2.391654643720554e-16,1.2743406644643015e-15,3.7539857915095513e-16
53,-1.259365857658031,-0.13296939054011503,3.6653920781527116,-0.11835534453951269,1.0179197355145353,0.11126524006620997,3.7030556577017743e-16,1.1008156616838483e-15,6.962816245418282e-16
54,2.161075030396472,-0.9032729145437348,3.2175673117883097,0.20287811160758906,1.9620446507296243,-0.6651913714670702,3.002224531865041e-16,1.1990440790417471e-15,7.261532578694793e-16
55,1.4563376063238027,-2.073748057873132,2.779192515273993,2.2364582236205437,0.4095187956347862,0.3591523853016281,4.682082612682919e-16,1.2573191506541418e-15,8.567742875297547e-16
56,-2.5104063609744056,-0.7131393664942902,0.33797287529408093,2.7028269007438817,0.4259645831171867,1.4408839721545126,1.7554167342883506e-16,1.4794008208736585e-15,3.5858039253722845e-16
57,1.8654818917275997,-1.0564267883874794,3.1304964185181876,1.8297120016951323,2.932683894733724,-0.7743762689449523,2.498001805406602e-16,1.3611556143588143e-15,3.598453780509909e-16
