step,time,pos_err_norm,rot_err_norm,err_6d_norm,qdot_max,line_dev,phase_error,sigma_min,condition_number,joint_center_cost,joint_margin_min,qdot_norm,px,py,pz,roll,pitch,yaw,r11,r12,r13,r21,r22,r23,r31,r32,r33,epx,epy,epz,erx,ery,erz,q1,q2,q3,q4,q5,q6,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,qdot_null1,qdot_null2,qdot_null3,qdot_null4,qdot_null5,qdot_null6,qdot_primary_norm,qdot_null_norm,qdot_null_ratio,null_task_leak_norm
0,0.0,0.0,8.620652195328901e-10,8.620652195328901e-10,0.01726913893158312,0.0,0.0,4.5365982948088026e-05,17317.968371345567,1.000065834973094,2.0978295931017737e-06,0.02085857546804429,0.3340806509489974,0.0010019155657902898,0.33093286030734786,-1.6757040199877338e-10,2.8786084627085984e-10,-1.2229417478692994e-10,0.9999999999414647,2.1832294947712118e-10,-4.556171412373189e-10,-1.2229413565316075e-10,1.0000000001134242,1.6757067017938358e-10,-2.8786104749878305e-10,2.5807600501082106e-10,1.0000000003226814,0.0,0.0,0.0,4.2564667531331177e-10,7.434781889873462e-10,-9.602881350464613e-11,5.749111035057381e-09,-1.726913893158312e-05,8.391318372407095e-06,-6.032920171862894e-11,1.5700081512424833,1.2568517491764276e-10,5.749111035057381e-06,-0.01726913893158312,0.008391318372407095,-6.032920171862893e-08,0.00815124248314136,1.2568517491764275e-07,5.749728157864904e-06,-0.017269137312310903,0.008391315431546479,-6.242429648664598e-08,0.008151250806383067,1.2358702703451686e-07,9.472040084535738e-09,0.020858576197100888,2201888.3073398443,0.0026342967539648714
1,0.001,2.531144908175697e-06,7.26153747011072e-07,2.633247768532612e-06,0.0171793179347382,1.091291400886305e-06,2.2838077030585462e-06,4.491174283233632e-05,17493.143140948316,1.0000485174265472,4.183137191133953e-06,0.02075195031379588,0.33408305925057036,0.0010019174815403898,0.3309336424474959,-4.3115590350161466e-11,7.268659376003483e-07,5.594711205117367e-09,0.9999999999412006,-5.4986821104093415e-09,7.261224598646698e-07,5.594711204788402e-09,1.0000000001134242,4.311965280051431e-11,-7.268659378348308e-07,3.825310623817302e-10,1.0000000003224176,-2.407413572713679e-06,-2.3597502185786212e-09,-7.816961479223394e-07,5.96946772621978e-10,-7.261303522284116e-07,-5.798234680793397e-09,1.0449991204054197e-08,-3.4448456866321324e-05,1.673254876453581e-05,3.112691995473016e-10,1.570016271484483,6.708243727723951e-10,4.7008801689968166e-06,-0.0171793179347382,0.008341230392128716,3.715984012659305e-07,0.008120241999800687,5.451391978547522e-07,5.749586290079829e-06,-0.017268456021021027,0.008391098965549975,-6.15635169667023e-08,0.00815080277322938,1.2275830552853192e-07,0.00010662035327830371,0.02085774997750901,195.62634281879681,0.0026342403788880493
2,0.002,5.0427533386725875e-06,1.4460817961566188e-06,5.245999789922707e-06,0.01711171585078936,2.1769258163789968e-06,4.548665213508729e-06,4.4459220180035475e-05,17671.21479882249,1.0000312701673422,6.2593233230574944e-06,0.020673137355056756,0.33408545512549964,0.0010019190471983904,0.33093441863522477,9.32288601040657e-10,1.444711485180511e-06,1.0244769140801528e-08,0.9999999999404212,-1.0148738369155272e-08,1.4439680080177708e-06,1.0244769140191158e-08,1.0000000001134244,-9.322738080275125e-10,-1.4447114856461912e-06,1.3579350421899505e-09,1.0000000003216387,-4.7970796057672516e-06,-7.029856337673057e-09,-1.554779428647457e-06,1.6894544175920605e-09,-1.4460438070047603e-06,-1.0344812347403703e-08,1.2071978008762035e-08,-5.156017271711069e-05,2.5037293292229978e-05,1.9772066251933065e-09,1.570024370805344,2.4749140982535427e-09,1.6219868047078374e-06,-0.01711171585078936,0.008304744527694167,1.6659374256460048e-06,0.008099320861139698,1.8040897254811479e-06,5.7494487419683756e-06,-0.017267778438457133,0.008390883697257797,-6.070147750019602e-08,0.00815035714757405,1.2192774208135865e-07,0.0001854805575486738,0.020856928252460258,112.44805609633197,0.002634184298928301
3,0.003,7.532728981861546e-06,2.1593343280164814e-06,7.836117064868752e-06,0.017066333410577075,3.2574990284278766e-06,6.791958921685057e-06,4.400785342158297e-05,17852.479696882005,1.0000140693949051,8.329783605550554e-06,0.02062213401600581,0.33408784166984073,0.001001919584449038,0.33093519150220485,4.460205953445975e-09,2.152361964506321e-06,1.1759513300270934e-08,0.9999999999391481,-1.166347397725853e-08,2.1516184878292433e-06,1.1759513299555347e-08,1.0000000001134242,-4.460180651965646e-09,-2.15236196519919e-06,4.885852222802356e-09,1.0000000003203666,-7.166792785728848e-06,-1.5982687548215732e-08,-2.319230828162766e-06,3.767251946392323e-09,-2.1592999962458287e-06,-1.157904037157242e-08,8.592208918094588e-09,-6.862650612768776e-05,3.3319134422202214e-05,5.796300667652302e-09,1.5700324592996966,6.374390125668606e-09,-3.479769090667447e-06,-0.017066333410577075,0.008281841129972238,3.819094042458995e-06,0.008088494352525651,3.899476027415063e-06,5.7493224778186695e-06,-0.017267103584055903,0.008390669315438942,-5.982793530927926e-08,0.008149913286278255,1.2108427369850248e-07,0.00023672562249392093,0.020856109833580407,88.10246024810233,0.0026341284378349713
4,0.004,9.999001155929685e-06,2.8662177601310413e-06,1.0401693533496061e-05,0.017043170594509275,4.3336082798750794e-06,9.011096680916105e-06,4.355708008689549e-05,18037.255624463127,0.9999968913199171,1.0397908673221798e-05,0.020598938606908677,0.3340902219801079,0.0010019184175581416,0.33093596367051403,1.2235547313661924e-08,2.848359930844217e-06,8.078496435052079e-09,0.9999999999374083,-7.98243155530895e-09,2.8476164547520944e-06,8.078496434546431e-09,1.0000000001134244,-1.2235524310590357e-08,-2.8483599317594838e-06,1.26611937045773e-08,1.000000000318627,-9.514369534446843e-06,-3.118255588138198e-08,-3.0750323781192357e-06,6.8939858929106775e-09,-2.8662000388348896e-06,-7.3524711484043544e-09,-2.004384762809114e-09,-8.566967672219705e-05,4.159163469288719e-05,1.2623775704439502e-08,1.570040547076991,1.3202633753435773e-08,-1.0596593680903701e-05,-0.017043170594509275,0.008272500270684978,6.827475036787201e-06,0.008087777294290442,6.828243627767166e-06,5.749214431403686e-06,-0.017266430477985477,0.008390455509110505,-5.893267379528186e-08,0.008149470546643037,1.2021686708025297e-07,0.00026062247966108663,0.020855293533380507,80.02108444551536,0.0026340727193741127
5,0.005,1.2439527658845065e-05,3.567063245121942e-06,1.294085733519504e-05,0.017042226636863243,5.4058546001519745e-06,1.120350768363076e-05,4.310633683174987e-05,18225.883312827198,0.9999797121650174,1.2467084109787363e-05,0.02060355030498,0.334092599153165,0.0010019148733707817,0.33093673775263627,2.5946576442947844e-08,3.5312530277664678e-06,-2.850815583599342e-09,0.9999999999352298,2.9469376884327144e-09,3.5305095521243057e-06,-2.8508157458036104e-09,1.000000000113424,-2.5946586788929023e-08,-3.531253029044959e-06,2.6372223016490892e-08,1.0000000003164489,-1.1837647871326684e-05,-5.4585728640052164e-08,-3.822167140232757e-06,1.1132870134922005e-08,-3.5670430650049837e-06,4.475075674017304e-09,-2.1725083946557314e-08,-0.00010271190335906028,4.986833643914945e-05,2.3311262096771265e-08,1.570048644261033,2.3789979523839493e-08,-1.9720699183748202e-05,-0.017042226636863243,0.00827670174626226,1.068748639233176e-05,0.00809718404204929,1.058734577040372e-05,5.749131506003165e-06,-0.017265758141170432,0.008390241967545202,-5.800550245239104e-08,0.008149028286426333,1.1931451852677316e-07,0.0002577194181499659,0.020854478165287186,80.91931230510825,0.002634017067330701
6,0.006,1.4852297694812455e-05,4.262237857895133e-06,1.5451777191397947e-05,0.01706350002992501,6.4748451198756365e-06,1.3366642341633145e-05,4.265505946346332e-05,18418.728118089053,0.9999625081655019,1.454069038018713e-05,0.02063596909943082,0.33409497628612034,0.00100190828130919,0.3309375163514618,4.727491864642275e-08,4.199593981457639e-06,-2.307305102533519e-08,0.9999999999326461,2.316927998622936e-08,4.19885050523261e-06,-2.307305084522295e-08,1.000000000113423,-4.727501552190738e-08,-4.199593982904398e-06,4.770056483138774e-08,1.0000000003138652,-1.4134487279715557e-05,-8.814044050024263e-08,-4.5606191923508455e-06,1.6546688199587772e-08,-4.262126220103059e-06,2.6035519854982343e-08,-5.256938774064635e-08,-0.0001197754033889853,5.816276152074852e-05,3.8706793946025444e-08,1.57005676098952,3.8963724425619864e-08,-3.084430379408904e-05,-0.01706350002992501,0.008294425081599065,1.5395531849254176e-05,0.008116728486966979,1.5173744901780375e-05,5.749080574406806e-06,-0.01726508559531942,0.008390028380280358,-5.703625672058248e-08,0.008148585863861208,1.1836625378305779e-07,0.00022933849529364845,0.020853662543676252,90.92962097813229,0.0026339614055112016
7,0.007,1.723533489030548e-05,4.952155894048468e-06,1.7932668980939242e-05,0.017106988528130137,7.541195364128585e-06,1.5497972166096523e-05,4.2202682967107524e-05,18616.181906485574,0.9999452555700252,1.6622102763645315e-05,0.0206961957023152,0.33409735647622135,0.001001897973370706,0.33093830206028685,7.789556466519798e-08,4.8519405937419435e-06,-5.462493612995445e-08,0.9999999999296926,5.472134499564065e-08,4.851197115067485e-06,-5.462493616302177e-08,1.00000000011342,-7.789582961794816e-08,-4.851940595603302e-06,7.832121073914067e-08,1.0000000003109115,-1.6402768573398063e-05,-1.3378690569016555e-07,-5.290373613686672e-06,2.319779611694399e-08,-4.951744668115592e-06,5.945252730623978e-08,-9.652901935088956e-08,-0.00013688239191711544,6.648841105458126e-05,5.965480538839009e-08,1.570064907413576,5.9548138603478387e-08,-4.395963161024321e-05,-0.017106988528130137,0.008325649533832741,2.0948011442364644e-05,0.00814642405600414,2.0584414177858522e-05,5.7490684788993744e-06,-0.017264411862950697,0.008389814437125545,-5.6014797792172013e-08,0.008148142637673017,1.1736112783764762e-07,0.000179536121510284,0.020852845483903575,116.14846746347162,0.0026339056577458267
8,0.008,1.9586700421548494e-05,5.637290218251204e-06,2.0381802530892076e-05,0.017172689152184194,8.605531514995967e-06,1.7594989648986002e-05,4.174864153103822e-05,18818.66517038236,0.9999279306412991,1.8714691287665536e-05,0.020784231427851924,0.3340997428207506,0.0010018832841252865,0.33093909746281436,1.194768799450685e-07,5.486855737313334e-06,-9.953530533124422e-08,0.999999999926407,9.963199186759168e-08,5.486112251266301e-06,-9.953530515013756e-08,1.0000000001134122,-1.1947742626682895e-07,-5.486855739212856e-06,1.199025262410558e-07,1.0000000003076253,-1.8640393763758034e-05,-1.934573297225975e-07,-6.011416471773945e-06,3.1148125045158356e-08,-5.636191594451618e-06,1.068415168827336e-07,-1.5558793191050297e-07,-0.00015405508106929963,7.485876515066214e-05,8.699612540455609e-08,1.5700730936972882,8.636447759453574e-08,-5.9058912559613395e-05,-0.017172689152184194,0.008370354096080885,2.7341320016166e-05,0.008186283712174596,2.6816338991057347e-05,5.749102031226098e-06,-0.017263735967419522,0.008389599828171198,-5.4931012353395375e-08,0.008147697967097849,1.1628822465702287e-07,0.0001257469941106687,0.020852025802338477,165.8252412631158,0.002633849747890929
9,0.009000000000000001,2.1904496277345813e-05,6.3181836082823675e-06,2.2797508663716405e-05,0.017260598193025476,9.668492636271386e-06,1.965520814711824e-05,4.1292368572361444e-05,19026.629406745,0.9999105096567876,2.082182066295052e-05,0.02090007804392654,0.33410213841692515,0.0010018635507132747,0.3309399051331544,1.736806121144241e-07,6.102907348815023e-06,-1.598251038181786e-07,0.9999999999228292,1.5992219540637177e-07,6.102163847252623e-06,-1.5982510400267e-07,1.0000000001133962,-1.7368158775592464e-07,-6.102907350879344e-06,1.7410625857694484e-07,1.0000000003040481,-2.0845285930937152e-05,-2.690759213848544e-07,-6.723734808145032e-06,4.045918322431764e-08,-6.315758210990233e-06,1.7030966728364736e-07,-2.3172231423938376e-07,-0.0001713156792623251,8.328728265180207e-05,1.2156797111935898e-07,1.570081330017243,1.202309961092462e-07,-7.613438232888078e-05,-0.017260598193025476,0.00842851750113993,3.457184571480289e-05,0.008236319954710278,3.3866518514710474e-05,5.749188012541387e-06,-0.017263056932945026,0.008389384243796975,-5.3774812280575035e-08,0.008147251211900398,1.1513665687463753e-07,0.00013606508238358633,0.02085120231639638,153.24432836023,0.00263379359983135
