step,time,pos_err_norm,rot_err_norm,err_6d_norm,qdot_max,line_dev,phase_error,sigma_min,condition_number,joint_center_cost,joint_margin_min,qdot_norm,px,py,pz,roll,pitch,yaw,r11,r12,r13,r21,r22,r23,r31,r32,r33,epx,epy,epz,erx,ery,erz,q1,q2,q3,q4,q5,q6,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,qdot_null1,qdot_null2,qdot_null3,qdot_null4,qdot_null5,qdot_null6,qdot_primary_norm,qdot_null_norm,qdot_null_ratio,null_task_leak_norm
0,0.0,0.0,8.620652195328901e-10,8.620652195328901e-10,0.013722774127240303,0.0,0.0,4.5365982948088026e-05,17317.968371345567,1.0000694763404707,1.636303086626993e-06,0.016736041072149387,0.3340806509489974,0.0010019155657902898,0.33093286030734786,-1.6757040199877338e-10,2.8786084627085984e-10,-1.2229417478692994e-10,0.9999999999414647,2.1832294947712118e-10,-4.556171412373189e-10,-1.2229413565316075e-10,1.0000000001134242,1.6757067017938358e-10,-2.8786104749878305e-10,2.5807600501082106e-10,1.0000000003226814,0.0,0.0,0.0,4.2564667531331177e-10,7.434781889873462e-10,-9.602881350464613e-11,1.7351463121779482e-09,-1.3722774127240304e-05,6.545212346507972e-06,-8.583522865417719e-11,1.5700069957653862,7.59438841211758e-11,1.7351463121779483e-06,-0.013722774127240303,0.0065452123465079715,-8.583522865417718e-08,0.006995765386050842,7.59438841211758e-08,1.7359188424177945e-06,-0.013722772439648917,0.006545209280821021,-8.795255032555141e-08,0.00699577406344791,7.382273532000437e-08,9.85508738230914e-09,0.016736042116747427,1698041.166597938,0.002028390130015684
1,0.001,2.0192538163378074e-06,1.813587834304562e-07,2.027381804969694e-06,0.013654572021667229,8.649765797021938e-07,1.8246099559474981e-06,4.497610475722742e-05,17468.10612358108,1.0000557769851315,3.2633298329656976e-06,0.016653826067245248,0.33408256689202165,0.0010019161412135498,0.330933501024095,-1.2665840142279518e-10,1.8208425593887067e-07,1.5867564060291473e-09,0.9999999999414482,-1.49072754451411e-09,1.8134077787307357e-07,1.5867564059362398e-09,1.0000000001134244,1.266586891808023e-10,-1.820842559976249e-07,2.98987945512863e-10,1.000000000322665,-1.915055024004353e-06,-1.019423378611356e-09,-6.402727470433689e-07,6.804878040757585e-10,-1.8134867014416203e-07,-1.79027949425111e-09,3.118546066541363e-09,-2.7377346148907534e-05,1.305331933186279e-05,2.7441541657687727e-10,1.5700139633422068,5.824521038706894e-10,1.3833997543634145e-06,-0.013654572021667229,0.006508106985354817,3.6025064523105446e-07,0.006967576820545983,5.065082197495135e-07,1.7358868082017636e-06,-0.013722344600517621,0.00654507662067515,-8.73110748410446e-08,0.006995482075891715,7.318950309804484e-08,8.209197268544625e-05,0.016735517374920583,203.8630163656006,0.002028355558327327
2,0.002,4.0221267115552335e-06,3.6232205158869135e-07,4.038413123105851e-06,0.01360842019753988,1.7257800032461508e-06,3.633068491532863e-06,4.458779074922707e-05,17620.251354561213,1.0000421249538156,4.884440640545598e-06,0.016599251829912034,0.33408447337260083,0.0010019165992102487,0.33093413694825524,7.904846765582063e-10,3.6097247630890113e-07,2.924776775727137e-09,0.9999999999413997,-2.828747522928059e-09,3.6022899836327116e-07,2.924776775555744e-09,1.0000000001134242,-7.904836230584581e-10,-3.6097247642537245e-07,1.2161313067693413e-09,1.0000000003226164,-3.815326706957389e-06,-4.581868196049804e-09,-1.2730924591197734e-06,1.8312516229846929e-09,-3.6230479717661393e-07,-3.024818629977482e-09,3.4669502094440873e-09,-4.0985766346447416e-05,1.953776256218239e-05,1.9713050439982004e-09,1.570020913022113,2.3805050381417176e-09,3.484041429027244e-07,-0.01360842019753988,0.006484443230319602,1.6968896274213233e-06,0.006949679906224076,1.7980529342710282e-06,1.7358579417051759e-06,-0.013721918990327679,0.00654494465917534,-8.666831739165487e-08,0.006995191600062939,7.255488994799338e-08,0.00013646170372834753,0.01673499536648734,122.63510411072079,0.002028321157969107
3,0.003,6.006506753518698e-06,5.422297961709422e-07,6.030931647094112e-06,0.013584320935879978,2.5834061940890942e-06,5.4225580509863415e-06,4.420046747232354e-05,17774.671453894698,1.0000284966568573,6.50299125112574e-06,0.016572317435049028,0.33408637346345793,0.0010019167116307602,0.33093477070876565,4.335038655682665e-09,5.352695548022913e-07,3.1697218363159216e-09,0.9999999999413216,-3.0736904769185976e-09,5.345260769944182e-07,3.1697218361299276e-09,1.0000000001134242,-4.335036961875385e-09,-5.352695549749875e-07,4.760685068383452e-09,1.0000000003225387,-5.698586402924644e-06,-1.3109869270461899e-08,-1.8984373889585626e-06,3.892407416679343e-09,-5.42207585185958e-07,-2.9892452050957993e-09,2.0998480715742288e-09,-5.45700872823274e-05,2.601196500450296e-05,5.891584331452581e-09,1.570027855111121,6.3278594958904835e-09,-1.3671021378698584e-06,-0.013584320935879978,0.006474202442320571,3.920279287454381e-06,0.006942089008052842,3.947354457748766e-06,1.7358381875843796e-06,-0.013721494839846337,0.006544813157501295,-8.601556020271552e-08,0.006994902111927199,7.191006752407002e-08,0.0001631945914386887,0.01673447514825844,102.5430738738815,0.0020282868715551148
4,0.004,7.970312019556251e-06,7.211725209551952e-07,8.00287220278218e-06,0.01358227575813091,3.438851439589209e-06,7.190283336942139e-06,4.3813560633749943e-05,17931.65134592599,1.0000148685139139,8.122332676421792e-06,0.016573022970610713,0.33408827023792453,0.0010019162512301212,0.33093540492494317,1.2251157900448212e-08,7.032990794381314e-07,1.6024153865886446e-09,0.9999999999412172,-1.506377660118668e-09,7.025556018162848e-07,1.6024153864944502e-09,1.0000000001134242,-1.2251156776051882e-08,-7.032990796650151e-07,1.267680432848195e-08,1.0000000003224343,-7.56262735107649e-06,-2.9016227860983318e-08,-2.516286807252577e-06,6.878363733913382e-09,-7.211391856279754e-07,-8.763817865858386e-10,-1.6605361852657735e-09,-6.815236304045831e-05,3.2489330705687166e-05,1.2918203068460537e-08,1.5700347999291429,1.3279056654635006e-08,-3.760384256840002e-06,-0.01358227575813091,0.006477365701184205,7.026618737007955e-06,0.006944818021705084,6.951197158744521e-06,1.7358334641687677e-06,-0.013721071380351798,0.006544681876998769,-8.534410901523798e-08,0.0069946130877851205,7.124623160620089e-08,0.00016249111677078202,0.016733955777673063,102.98381848341278,0.002028252641700937
5,0.005,9.911495971322357e-06,8.992555445995072e-07,9.952206434958646e-06,0.013602285430280381,4.293115992429436e-06,8.933471187905837e-06,4.3426495126182344e-05,18091.49455033957,1.0000012169546793,9.745811128763815e-06,0.01660136950565795,0.334090166769833,0.0010019149916669036,0.3309360422064844,2.6275981834800177e-08,8.633911838806796e-07,-2.493453443719318e-09,0.9999999999410919,2.5895054467422524e-09,8.626477062054216e-07,-2.4934535818712386e-09,1.000000000113424,-2.6275984235957794e-08,-8.633911840749686e-07,2.6701628519365528e-08,1.0000000003223088,-9.405264539297242e-06,-5.470402476186534e-08,-3.1266209883917817e-06,1.0803466827076268e-08,-8.991812186095455e-07,4.117729632354433e-09,-8.489247022938139e-09,-8.17546484707387e-05,3.898324451505526e-05,2.393030979410811e-08,1.5700417578095167,2.408543189552335e-08,-6.828710837672364e-06,-0.013602285430280381,0.006493913809368094,1.1012106725647575e-05,0.0069578803739025336,1.0806375240888342e-05,1.7358496634755173e-06,-0.013720647843654971,0.006544550579186993,-8.464529299243503e-08,0.006994324004286507,7.055460200364065e-08,0.00013495787861345657,0.016733436312825464,123.99006535041163,0.0020282184110257334
6,0.006,1.1828052989892423e-05,1.0766050222230272e-06,1.1876948930831476e-05,0.013644349966979576,5.1472076339547185e-06,1.064937045578839e-05,4.303869505373656e-05,18254.524376339275,0.9999875184195982,1.1376767952682773e-05,0.016657359011468677,0.33409206613340847,0.0010019127075020899,0.3309366851534657,4.813964471495069e-08,1.0138825388139594e-06,-9.831334857324237e-09,0.9999999999409508,9.927412714554896e-09,1.0131390608299207e-06,-9.831334661305566e-09,1.000000000113423,-4.8139654646221654e-08,-1.0138825391158013e-06,4.8565291066449134e-08,1.0000000003221667,-1.122433456784977e-05,-9.256663340007076e-08,-3.7294211962524138e-06,1.5682001621576674e-08,-1.076414774410433e-06,1.2793831792004262e-08,-1.9058600884343773e-08,-9.539899843771828e-05,4.550707181073109e-05,3.98032495159643e-08,1.5700487390985396,3.9595126574492564e-08,-1.0569353861405635e-05,-0.013644349966979576,0.006523827295675835,1.5872939721856194e-05,0.006981289022784446,1.550969467896922e-05,1.7358926512041922e-06,-0.013720223462119395,0.006544419025764098,-8.39104645766132e-08,0.006994034338444795,6.982642240941396e-08,8.359234041124929e-05,0.01673291581248945,200.17283318059626,0.0020281841221538484
7,0.007,1.3718024121054681e-05,1.2533740054640362e-06,1.3775163599152316e-05,0.013708468635504666,6.002145171564072e-06,1.2335251887387265e-05,4.264958375816975e-05,18421.085267787188,0.9999737493605756,1.3018539557408431e-05,0.01674099423842561,0.3340939714031652,0.001001909174197717,0.33093733635634415,7.956528325081536e-08,1.153116341967575e-06,-2.1121819848701762e-08,0.9999999999407994,2.1217940954980698e-08,1.1523728631716856e-06,-2.112181990006838e-08,1.000000000113421,-7.956530757728828e-08,-1.1531163425955449e-06,7.99909297133361e-08,1.0000000003220144,-1.3017695517258954e-05,-1.4498773270128426e-07,-4.324669670985326e-06,2.152819094109086e-08,-1.2529204125884148e-06,2.5949456392036692e-08,-3.403818945400638e-08,-0.00010910746707322295,5.2074158229633724e-05,6.14085594744216e-08,1.5700557541549978,6.065310174740962e-08,-1.4979588569662603e-05,-0.013708468635504666,0.006567086418902632,2.160530995845729e-05,0.00701505645816471,2.1057975172917062e-05,1.7359682667113548e-06,-0.013719797468683705,0.006544286978614266,-8.313099928193792e-08,0.006993743567652119,6.905296019120215e-08,4.788245407079943e-05,0.01673239333614592,349.44727273079985,0.002028149717716844
8,0.008,1.5579503073749492e-05,1.4297484407781512e-06,1.5644970330073416e-05,0.013794639959736272,6.858961839120397e-06,1.3988408005001887e-05,4.225858384448974e-05,18591.544319581568,0.9999598862416884,1.4674457350285124e-05,0.016852278553842873,0.33409588565380266,0.001001904168115642,0.33093799839595717,1.2226904821943663e-07,1.2794423112083564e-06,-3.707264761843021e-08,0.9999999999406456,3.716883356511853e-08,1.2786988295362955e-06,-3.7072647762644346e-08,1.000000000113416,-1.2226909571827216e-07,-1.279442311838061e-06,1.2269469468195737e-07,1.0000000003218559,-1.4783226815806572e-05,-2.1434132007800387e-07,-4.912349614583089e-06,2.8356195986625646e-08,-1.4287781635974368e-06,4.4378928376637045e-08,-5.409488282304779e-08,-0.00012290210703295922,5.86978294011405e-05,8.961396293211604e-08,1.5700628133496997,8.810115388163504e-08,-2.005669336904141e-05,-0.013794639959736272,0.006623671171506771,2.8205403457694434e-05,0.007059194701806337,2.7448052134225423e-05,1.736082322965276e-06,-0.013719369096884027,0.006544154199814712,-8.229829544258624e-08,0.006993451169694666,6.822550613799392e-08,0.00013540914904516745,0.016731867944010385,123.56526821436556,0.0020281151403554404
9,0.009000000000000001,1.741064252522428e-05,1.605953043397947e-06,1.748455199079311e-05,0.013902861724087532,7.718708571996345e-06,1.5606152989185464e-05,4.186511720681846e-05,18766.292987553024,0.9999459055398953,1.634784767108962e-05,0.016991215747240242,0.33409781196010263,0.0010018974665162925,0.33093867384352516,1.779601128681918e-07,1.3912166725305042e-06,-5.838870720253908e-08,0.999999999940495,5.84849841860077e-08,1.390473185026303e-06,-5.838870718876209e-08,1.0000000001134068,-1.77960194227461e-07,-1.391216673076942e-06,1.783857596082683e-07,1.0000000003216987,-1.6518829108413957e-05,-3.029917244026705e-07,-5.492445178889582e-06,3.6180116293399905e-08,-1.6040675283943175e-06,6.887337028975614e-08,-7.989283255959288e-08,-0.00013680496875704675,6.539139068435848e-05,1.252833609596236e-07,1.5700699270650074,1.2277793257724624e-07,-2.5797949736545095e-05,-0.013902861724087532,0.006693561283217987,3.566939802750755e-05,0.007113715307687316,3.467677869561119e-05,1.736240606480348e-06,-0.01371893758087502,0.006544020451641824,-8.140377390208911e-08,0.006993156622767431,6.733537414841442e-08,0.00027195406286516563,0.016731338697058867,61.52266474441888,0.002028080332721232
